Qty,Value,Device,Package,Parts,Description,DIGIKEY,MF,MPN,VALUE,VALUE_PART
1,,CONN_022.54_SCREW_ROUND,1X02_2.54_SCREWTERM_ROUND,J2,Genaric 2 terminal header,ED10561-ND,OnShore,OSTVN02A150,,
1,,CONN_023.5MM_ROUND_RESTRICT,SCREWTERMINAL-3.5MM-2_ROUND_RESTRICT,J1,Genaric 2 terminal header,ED2635-ND,On Shore,OSTTE020161,,
4,,MOUNTING_HOLE4_NP,4_40,"H1, H2, H3, H4",Genaric Mechanical Mounting Hole,DNP,N/A,DNP,,
3,1.75A,PPTC1.75A1210,1210_BOURNS,"F1, F2, F3",Bel Fuse PPTC,MF-USMF175X-2CT-ND,Bourns,MF-USMF175X-2,,
3,100k,R-EU_100KR0603,R0603,"R5, R6, R7","RESISTOR, European symbol",311-100KHRCT-ND,Yageo,RC0603FR-07100KL,,100k
3,18650NO_PROTEC,18650NO_PROTEC,BATT_18650_CLIP,"BT1, BT2, BT3",Battery Holder 18650 form factor  Variant for with or without circuit protection (length varries depending on this),36-54-ND,Keystone,54,,
3,BAS16WX,DIODESOD-323,SOD323-R,"D4, D5, D6",Genaric Diode,BAS16WXTPMSDKR-ND,Micro Semi,BAS16WX-TP,,
3,4.7k,R-EU_4.7KR0603,R0603,"R1, R2, R3","RESISTOR, European symbol",311-4.70KHRCT-ND,Yageo,RC0603FR-074K7L,,4.7k
3,DMG3406,MOSFET-NCH-DMG3406L,SOT23-3,"Q1, Q2, Q3",N-channel MOSFETs,DMG3406L-13DICT-ND,Diodes Incorporated,DMG3406L-13,DMG3406,
3,JUMPER-SMT_2_NO_SILK,JUMPER-SMT_2_NO_SILK,SMT-JUMPER_2_NO_SILK,"JP1, JP2, JP3",Normally open jumper,N/A,N/A,DNP,,
3,LED0805,LED0805,LED_0805,"D1, D2, D3",Genaric LED,1497-XZMDK54W-4DKR-ND,SunLED,XZMDK54W-4,,
1,SPDTOS1020_RT,SPDTOS1020_RT,OS102011MA1QN1,S1,Genaric SPDT switch,CKN9559-ND,C&K,OS102011MA1QN1,,
